Brucella vulpis	na	GCA_900000005.1	na	na	Complete Genome	na	na
Brucella vulpis	na	    GCA_001511795.1	na	na	Chromosome	na	na
Brucella abortus	ASM74013v1	GCF_000740135.1	From INSDC submitter	3289500	Complete Genome	2014-08-15	3180	SAMN02767917
Brucella abortus	ASM74015v1	GCF_000740155.1	From INSDC submitter	3288518	Complete Genome	2014-08-15	3168	SAMN02767934
Brucella abortus	ASM74017v1	GCF_000740175.1	From INSDC submitter	3285289	Complete Genome	2014-08-15	3168	SAMN02769901
Brucella abortus	ASM74029v1	GCF_000740295.1	From INSDC submitter	3280310	Complete Genome	2014-08-15	3161	SAMN02767544
Brucella abortus	ASM74031v1	GCF_000740315.1	From INSDC submitter	3288158	Complete Genome	2014-08-15	3165	SAMN02786918
Brucella abortus	ASM74094v1	GCF_000740945.1	From INSDC submitter	3281754	Chromosome	2014-08-18	3166	SAMN02769912
Brucella abortus	ASM104329v1	GCF_001043295.1	From INSDC submitter	3273110	Complete Genome	2015-06-30	3153	SAMN02712083
Brucella abortus	ASM226297v1	GCF_002262975.1	From INSDC submitter	3271067	Complete Genome	2017-08-22	3154	SAMN07508059
Brucella abortus	ASM226299v1	GCF_002262995.1	From INSDC submitter	3270868	Complete Genome	2017-08-22	3152	SAMN07508100
Brucella abortus	ASM289514v1	GCF_002895145.1	From INSDC submitter	3286445	Complete Genome	2018-01-22	3164	SAMN08295219
Brucella abortus	ASM324439v3	GCF_003244395.3	From INSDC submitter	3284174	Complete Genome	2021-07-06	3165	SAMN09405586
Brucella abortus	ASM329034v1	GCF_003290345.1	From INSDC submitter	3286167	Complete Genome	2018-07-08	3165	SAMN09499628
Brucella abortus	ASM367536v1	GCF_003675365.1	From INSDC submitter	3270584	Complete Genome	2018-10-23	3147	SAMN10238131
Brucella abortus	ASM399443v1	GCF_003994435.1	From INSDC submitter	3295536	Chromosome	2019-01-05	3169	SAMN10484931
Brucella abortus	ASM876157v1	GCF_008761575.1	From INSDC submitter	3278466	Complete Genome	2019-10-01	3163	SAMN12827000
Brucella abortus	14913_1#10	GCF_900095085.1	From INSDC submitter	3266118	Chromosome	2018-01-29	3155	SAMEA2821531
Brucella abortus	ASM74013v1	GCA_000740135.1	From INSDC submitter	3289500	Complete Genome	2014-08-15	3190	SAMN02767917
